,supplier,tariff_name,supply_region,plan_type,discount,duration,standing_charge,el_pso_levy,day_unit,peak_unit,night_unit,ev_unit,ev_overage_unit,ev_kwh_limit,fit_unit,extra,cash_bonus,update_date,gas_discount,gas_standing_charge,gas_unit_rate,gas_carbon_tax
66,Energia,EV Smart Drive Plus Dual,urban dual,smart,0.2000,12 months,236.617200,42.248400,34.6096800000,37.8360800000,18.5387200000,8.3101600000,15.6262400000,6000.0,20.0000,['ev_2_6'],0.000000,2025-08-07,0.2000,141.601900,9.0077600000,1.251320
67,Energia,EV Smart Drive Plus Dual,rural dual,smart,0.2000,12 months,300.905400,42.248400,34.6096800000,37.8360800000,18.5387200000,8.3101600000,15.6262400000,6000.0,20.0000,['ev_2_6'],0.000000,2025-08-07,0.2000,141.601900,9.0077600000,1.251320
6,Bord Gais,EV Smart Dual Fuel Discount,urban dual,smart,0.2000,12 months,325.517600,42.248400,29.2207200000,40.7485600000,22.0354400000,7.4468800000,,,18.5000,"['ev_2_5', 'no_peak_weekend']",0.000000,2025-04-09,0.2900,131.693800,7.9324750000,1.251320
7,Bord Gais,EV Smart Dual Fuel Discount,rural dual,smart,0.2000,12 months,380.028500,42.248400,30.5461600000,40.0248000000,21.9482400000,7.4468800000,,,18.5000,"['ev_2_5', 'no_peak_weekend']",0.000000,2025-04-09,0.2900,131.693800,7.9324750000,1.251320
180,Bord Gais,EV Smart Electricity,urban,smart,0.2000,12 months,325.517600,42.248400,29.2207200000,40.7485600000,22.0354400000,7.4468800000,,,18.5000,"['ev_2_5', 'no_peak_weekend']",0.000000,2025-04-09,,,,
181,Bord Gais,EV Smart Electricity,rural,smart,0.2000,12 months,380.028500,42.248400,30.5461600000,40.0248000000,21.9482400000,7.4468800000,,,18.5000,"['ev_2_5', 'no_peak_weekend']",0.000000,2025-04-09,,,,
74,Yuno,EV Variable,urban,smart,0.0000,12 months,334.194000,42.248400,32.7000000000,32.7000000000,32.7000000000,10.7910000000,,,15.8900,['ev_2_6'],0.000000,2025-05-14,,,,
75,Yuno,EV Variable,rural,smart,0.0000,12 months,366.022000,42.248400,32.7000000000,32.7000000000,32.7000000000,10.7910000000,,,15.8900,['ev_2_6'],0.000000,2025-05-14,,,,
8,Bord Gais,Free Time Sat Dual Fuel,urban dual,smart,0.2000,12 months,218.545000,42.248400,30.9908800000,37.8622400000,22.7766400000,,,,18.5000,"['free_sat_9_17', 'no_peak_weekend']",0.000000,2025-04-09,0.2900,131.693800,7.9324750000,1.251320
9,Bord Gais,Free Time Sat Dual Fuel,rural dual,smart,0.2000,12 months,274.342100,42.248400,31.2524800000,38.2808000000,22.9161600000,,,,18.5000,"['free_sat_9_17', 'no_peak_weekend']",0.000000,2025-04-09,0.2900,131.693800,7.9324750000,1.251320
10,Bord Gais,Free Time Sun Dual Fuel,urban dual,smart,0.2000,12 months,218.545000,42.248400,30.9908800000,37.8622400000,22.7766400000,,,,18.5000,"['free_sun_9_17', 'no_peak_weekend']",0.000000,2025-04-09,0.2900,131.693800,7.9324750000,1.251320
11,Bord Gais,Free Time Sun Dual Fuel,rural dual,smart,0.2000,12 months,274.342100,42.248400,31.2524800000,38.2808000000,22.9161600000,,,,18.5000,"['free_sun_9_17', 'no_peak_weekend']",0.000000,2025-04-09,0.2900,131.693800,7.9324750000,1.251320
142,Electric Ireland,Home Dual + Night Boost 16%,urban dual,smart,0.1600,12 months,328.580500,42.248400,30.5261040000,30.5261040000,15.0524640000,8.8355400000,,,19.5000,['ev_2_4'],0.000000,2025-04-02,0.1600,155.957200,9.7786080000,1.251320
143,Electric Ireland,Home Dual + Night Boost 16%,rural dual,smart,0.1600,12 months,400.476900,42.248400,30.5261040000,30.5261040000,15.0524640000,8.8355400000,,,19.5000,['ev_2_4'],0.000000,2025-04-02,0.1600,155.957200,9.7786080000,1.251320
144,Electric Ireland,Home Dual + Saturday Saver 16%,urban dual,smart,0.1600,12 months,250.765400,42.248400,31.3776120000,31.3776120000,31.3776120000,,,,19.5000,['free_sat_8_23'],0.000000,2025-04-02,0.1600,155.957200,9.7786080000,1.251320
145,Electric Ireland,Home Dual + Saturday Saver 16%,rural dual,smart,0.1600,12 months,314.977300,42.248400,31.3776120000,31.3776120000,31.3776120000,,,,19.5000,['free_sat_8_23'],0.000000,2025-04-02,0.1600,155.957200,9.7786080000,1.251320
146,Electric Ireland,Home Dual + Sunday Saver 16%,urban dual,smart,0.1600,12 months,250.765400,42.248400,31.3776120000,31.3776120000,31.3776120000,,,,19.5000,['free_sun_8_23'],0.000000,2025-04-02,0.1600,155.957200,9.7786080000,1.251320
147,Electric Ireland,Home Dual + Sunday Saver 16%,rural dual,smart,0.1600,12 months,314.977300,42.248400,31.3776120000,31.3776120000,31.3776120000,,,,19.5000,['free_sun_8_23'],0.000000,2025-04-02,0.1600,155.957200,9.7786080000,1.251320
140,Electric Ireland,Home Dual+ 24 Hour Saver 28%,urban dual,smart,0.2800,12 months,250.765400,42.248400,24.5014560000,24.5014560000,24.5014560000,,,,19.5000,[],49.998300,2025-04-02,0.2800,155.957200,8.3816640000,1.251320
141,Electric Ireland,Home Dual+ 24 Hour Saver 28%,rural dual,smart,0.2800,12 months,314.977300,42.248400,24.5014560000,24.5014560000,24.5014560000,,,,19.5000,[],49.998300,2025-04-02,0.2800,155.957200,8.3816640000,1.251320
138,Electric Ireland,Home Dual+ SST Saver 30%,urban dual,smart,0.3000,12 months,250.765400,42.248400,25.9191100000,27.6511200000,13.6195500000,,,,19.5000,[],0.000000,2025-04-02,0.3000,155.957200,8.1488400000,1.251320
139,Electric Ireland,Home Dual+ SST Saver 30%,rural dual,smart,0.3000,12 months,314.977300,42.248400,25.9191100000,27.6511200000,13.6195500000,,,,19.5000,[],0.000000,2025-04-02,0.3000,155.957200,8.1488400000,1.251320
126,Electric Ireland,Home Electric + Saturday Saver 16%,urban,smart,0.1600,12 months,250.765400,42.248400,31.3776120000,31.3776120000,31.3776120000,,,,19.5000,['free_sat_8_23'],0.000000,2025-04-02,,,,
127,Electric Ireland,Home Electric + Saturday Saver 16%,rural,smart,0.1600,12 months,314.977300,42.248400,31.3776120000,31.3776120000,31.3776120000,,,,19.5000,['free_sat_8_23'],0.000000,2025-04-02,,,,
128,Electric Ireland,Home Electric + Sunday Saver 16%,urban,smart,0.1600,12 months,250.765400,42.248400,31.3776120000,31.3776120000,31.3776120000,,,,19.5000,['free_sun_8_23'],0.000000,2025-04-02,,,,
129,Electric Ireland,Home Electric + Sunday Saver 16%,rural,smart,0.1600,12 months,314.977300,42.248400,31.3776120000,31.3776120000,31.3776120000,,,,19.5000,['free_sun_8_23'],0.000000,2025-04-02,,,,
122,Electric Ireland,Home Electric+ 24Hour Saver 30%,urban,smart,0.3000,12 months,250.765400,42.248400,23.8208600000,23.8208600000,23.8208600000,,,,19.5000,[],29.996800,2025-04-02,,,,
123,Electric Ireland,Home Electric+ 24Hour Saver 30%,rural,smart,0.3000,12 months,314.977300,42.248400,23.8208600000,23.8208600000,23.8208600000,,,,19.5000,[],29.996800,2025-04-02,,,,
124,Electric Ireland,Home Electric+ Night Boost 16%,urban,smart,0.1600,12 months,328.580500,42.248400,30.5261040000,30.5261040000,15.0524640000,8.8355400000,,,19.5000,['ev_2_4'],0.000000,2025-04-02,,,,
125,Electric Ireland,Home Electric+ Night Boost 16%,rural,smart,0.1600,12 months,400.476900,42.248400,30.5261040000,30.5261040000,15.0524640000,8.8355400000,,,19.5000,['ev_2_4'],0.000000,2025-04-02,,,,
120,Electric Ireland,Home Electric+ SST Saver 30%,urban,smart,0.3000,12 months,250.765400,42.248400,25.9191100000,27.6511200000,13.6195500000,,,,19.5000,[],0.000000,2025-04-02,,,,
121,Electric Ireland,Home Electric+ SST Saver 30%,rural,smart,0.3000,12 months,314.977300,42.248400,25.9191100000,27.6511200000,13.6195500000,,,,19.5000,[],0.000000,2025-04-02,,,,
34,FloGas,NS-24h 30% Discount Single Electricity,urban,24h,0.3000,12 months,257.381700,42.248400,25.9343700000,25.9343700000,25.9343700000,,,,18.5000,[],0.000000,2025-06-10,,,,
35,FloGas,NS-24h 30% Discount Single Electricity,rural,24h,0.3000,12 months,313.909100,42.248400,25.9343700000,25.9343700000,25.9343700000,,,,18.5000,[],0.000000,2025-06-10,,,,
30,FloGas,NS-24h Dual Fuel 30% Discount,urban dual,24h,0.3000,12 months,258.068400,42.248400,25.9343700000,25.9343700000,25.9343700000,,,,18.5000,[],60.004500,2025-06-10,0.3000,151.193900,7.8665300000,1.251320
31,FloGas,NS-24h Dual Fuel 30% Discount,rural dual,24h,0.3000,12 months,313.909100,42.248400,25.9343700000,25.9343700000,25.9343700000,,,,18.5000,[],60.004500,2025-06-10,0.3000,151.193900,7.8665300000,1.251320
16,Bord Gais,NS-24h Electricity Discount,urban,24h,0.3200,12 months,218.545000,42.248400,24.9191440000,24.9191440000,24.9191440000,,,,18.5000,[],0.000000,2025-04-09,,,,
17,Bord Gais,NS-24h Electricity Discount,rural,24h,0.3200,12 months,274.342100,42.248400,24.9932640000,24.9932640000,24.9932640000,,,,18.5000,[],0.000000,2025-04-09,,,,
38,FloGas,NS-24h Electricity Standard Rate,urban,24h,0.0000,No contract,257.370800,42.248400,37.0491000000,37.0491000000,37.0491000000,,,,18.5000,[],0.000000,2025-06-10,,,,
39,FloGas,NS-24h Electricity Standard Rate,rural,24h,0.0000,No contract,313.909100,42.248400,37.0491000000,37.0491000000,37.0491000000,,,,18.5000,[],0.000000,2025-06-10,,,,
130,Electric Ireland,NS-24h EnergySaver 26%,urban,24h,0.2600,12 months,250.765400,42.248400,25.7144080000,25.7144080000,25.7144080000,,,,19.5000,[],0.000000,2025-04-02,,,,
131,Electric Ireland,NS-24h EnergySaver 26%,rural,24h,0.2600,12 months,314.977300,42.248400,25.7144080000,25.7144080000,25.7144080000,,,,19.5000,[],0.000000,2025-04-02,,,,
148,Electric Ireland,NS-24h EnergySaver Dual 28%,urban dual,24h,0.2800,12 months,250.765400,42.248400,25.0194240000,25.0194240000,25.0194240000,,,,19.5000,[],49.998300,2025-04-02,0.2800,155.957200,8.3816640000,1.251320
149,Electric Ireland,NS-24h EnergySaver Dual 28%,rural dual,24h,0.2800,12 months,314.977300,42.248400,25.0194240000,25.0194240000,25.0194240000,,,,19.5000,[],49.998300,2025-04-02,0.2800,155.957200,8.3816640000,1.251320
132,Electric Ireland,NS-24h Green Electricity,urban,24h,0.0550,12 months,250.765400,42.248400,33.0028020000,33.0028020000,33.0028020000,,,,19.5000,[],0.000000,2025-04-02,,,,
133,Electric Ireland,NS-24h Green Electricity,rural,24h,0.0550,12 months,314.977300,42.248400,33.0028020000,33.0028020000,33.0028020000,,,,19.5000,[],0.000000,2025-04-02,,,,
150,Electric Ireland,NS-24h Green Electricity & Gas,urban dual,24h,0.0850,12 months,250.765400,42.248400,31.9550940000,31.9550940000,31.9550940000,,,,19.5000,[],0.000000,2025-04-02,0.0850,155.957200,10.6516980000,1.251320
151,Electric Ireland,NS-24h Green Electricity & Gas,rural dual,24h,0.0850,12 months,314.977300,42.248400,31.9550940000,31.9550940000,31.9550940000,,,,19.5000,[],0.000000,2025-04-02,0.0850,155.957200,10.6516980000,1.251320
58,Energia,NS-24h Standard Electricity,urban,24h,0.2900,12 months,236.617200,42.248400,27.0400660000,27.0400660000,27.0400660000,,,,20.0000,[],0.000000,2025-08-07,,,,
59,Energia,NS-24h Standard Electricity,rural,24h,0.2900,12 months,300.905400,42.248400,27.0400660000,27.0400660000,27.0400660000,,,,20.0000,[],0.000000,2025-08-07,,,,
164,SSE Airtricity,NS-24h Standard meter Fixed Rate,urban,24h,0.0000,12 months,240.977200,42.248400,31.5228000000,31.5228000000,31.5228000000,,,,19.5000,[],0.000000,2025-06-24,,,,
165,SSE Airtricity,NS-24h Standard meter Fixed Rate,rural,24h,0.0000,12 months,302.485900,42.248400,31.5228000000,31.5228000000,31.5228000000,,,,19.5000,[],0.000000,2025-06-24,,,,
176,SSE Airtricity,NS-24h Standard meter Fixed Rate,urban dual,24h,0.0000,12 months,240.977200,42.248400,31.5228000000,31.5228000000,31.5228000000,,,,19.5000,[],0.000000,2025-07-31,0.0000,152.294800,9.5920000000,1.251320
177,SSE Airtricity,NS-24h Standard meter Fixed Rate,rural dual,24h,0.0000,12 months,302.485900,42.248400,31.5228000000,31.5228000000,31.5228000000,,,,19.5000,[],0.000000,2025-07-31,0.0000,152.294800,9.5920000000,1.251320
